id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,197.32,3637671658,51,3637671658,141980451,226.07,194.74,-1.8125565869675313,-0.91024,-35842505.3692112,-0.9757,18446744.07370955,18446744.07370955,,542.33,-63.54237,2018-01-09T00:00:00.000Z,0.216177,91361.77963,2015-01-14T00:00:00.000Z,,2024-12-09T10:25:26.935Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,24.94,3594426739,52,8434906122,20373138,25.22,24.85,-0.07228552824865275,-0.28899,-8900968.737506866,-0.24702,144118517.10815412,338197507.0,400000000.0,25.34,-1.54823,2024-12-06T17:47:25.086Z,3.06,714.68501,2023-02-13T19:01:21.899Z,,2024-12-09T10:25:31.426Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,2.52,3531080111,53,5044396555,196764901,2.71,2.5,-0.13547635949085768,-5.0988,-182317057.46352196,-4.90971,1400001000.0,2000000000.0,2000000000.0,2.94,-14.48158,2024-12-07T11:20:41.370Z,0.0142795,17523.60055,2020-06-25T04:17:05.895Z,,2024-12-09T10:25:31.716Z
fantom,ftm,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,1.25,3513458790,54,3978846145,606290368,1.37,1.23,-0.053957240372781934,-4.13023,-150075613.54288864,-4.09647,2803634835.526592,3175000000.0,3175000000.0,3.46,-63.73877,2021-10-28T05:19:39.845Z,0.00190227,65827.62178,2020-03-13T02:25:38.280Z,"{'times': 40.747984996513935, 'currency': 'usd', 'percentage': 4074.7984996513933}",2024-12-09T10:25:34.248Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,7.75,3451439360,55,8431880910,318861443,8.42,7.67,-0.4801724349706342,-5.83773,-202814032.2033205,-5.55008,445479625.191425,1088308602.739425,,20.85,-62.94318,2024-02-10T14:30:02.495Z,2.08,270.85047,2023-10-31T15:14:31.951Z,,2024-12-09T10:25:31.972Z
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,3.42,3414012916,56,3414012916,900181115,3.75,3.41,-0.2711091153956757,-7.34889,-274225547.1789007,-7.43514,998926392.0,998926392.0,998926392.0,4.83,-28.8049,2024-03-31T09:34:58.366Z,0.00155464,220883.20199,2023-12-13T07:13:50.873Z,,2024-12-09T10:25:26.089Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,56.91,3413828044,57,13425316056,15494181,60.09,56.26,-1.5779433943730865,-2.69794,-93936815.02759075,-2.67797,60000000.0,235957685.3,300000000.0,73.8,-22.99873,2024-03-14T00:30:12.502Z,0.580608,9687.93178,2019-01-14T00:00:00.000Z,,2024-12-09T10:25:26.673Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.99932,3408096444,58,3408096444,182300919,1.004,0.995778,-0.000693605546466025,-0.06936,-90770065.54430723,-2.59427,3408829654.932103,3408829654.932103,,1.22,-17.99538,2020-03-13T03:02:50.373Z,0.88196,13.33615,2023-03-11T07:50:50.514Z,,2024-12-09T10:25:23.595Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,4.334e-05,3277659741,59,4019771006,768205047,4.667e-05,4.314e-05,-1.55916858411e-06,-3.47237,-114596976.5080595,-3.37819,75571189635727.25,92681639032284.2,92681775898232.7,5.825e-05,-25.57997,2024-11-20T04:01:06.465Z,8.6142e-08,50223.36778,2022-12-29T22:48:46.755Z,,2024-12-09T10:25:32.077Z
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.91,3236920427,60,3819902754,135107910,2.08,1.89,-0.10303738342841084,-5.12411,-170993056.98807812,-5.01753,1694765880.3898141,2000000000.0,2000000000.0,9.52,-79.94174,2021-11-26T01:03:01.536Z,0.378055,405.0945,2022-12-31T07:36:37.649Z,,2024-12-09T10:25:34.325Z
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,2.49,3125282441,61,10695005557,483082777,2.69,2.47,-0.13777184861331104,-5.24439,-173226797.3622198,-5.25167,1255070491.0,4294967296.0,4294967296.0,4.84,-48.60846,2024-03-06T08:35:50.817Z,0.402159,519.04982,2022-06-18T20:54:52.178Z,,2024-12-09T10:25:28.653Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,30.67,2997138639,62,3066841182,300453315,33.38,30.39,-1.7677640031459418,-5.44998,-172543493.94877243,-5.44356,97727220.33,100000000.0,,52.62,-41.67247,2024-03-14T15:06:22.124Z,0.657401,4568.74051,2020-11-03T16:19:30.576Z,,2024-12-09T10:25:28.384Z
